City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Quepos,CR,9.4236,-84.1652,77.45,89,83,0.98,broken clouds
293,Para De Minas,BR,-19.8603,-44.6083,70.45,73,97,4.88,overcast clouds
294,Gangapur,IN,26.4833,76.7167,71.55,49,0,6.02,clear sky
295,Zhezkazgan,KZ,47.8043,67.7144,50.5,49,73,10.56,broken clouds
296,Launceston,AU,-41.45,147.1667,67.64,82,100,1.14,light rain
297,Cervo,ES,43.6702,-7.4101,59.97,66,58,10.54,broken clouds
298,Monrovia,LR,6.3005,-10.7969,76.77,84,58,5.61,light rain
299,Ostrovnoy,RU,68.0531,39.5131,28.78,88,100,9.89,overcast clouds
300,Paraiso,CR,9.8383,-83.8656,66.42,98,97,1.77,overcast clouds
301,Ekibastuz,KZ,51.6667,75.3667,50.94,36,100,17.6,overcast clouds
302,Maldonado,UY,-34.6667,-54.9167,58.39,95,68,6.33,broken clouds
303,Bagotville,AU,-28.9833,153.4167,68.85,94,100,15.59,moderate rain
304,Ranong,TH,9.9658,98.6348,75.13,91,100,2.8,light rain
305,Kamenka,RU,51.3223,42.7678,37.74,76,90,6.76,overcast clouds
306,Haines Junction,CA,60.7522,-137.5108,40.95,65,100,5.75,overcast clouds
307,Flinders,AU,-34.5833,150.8552,74.05,85,92,10.18,overcast clouds
308,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,79,100,19.82,light rain
309,Nkhotakota,MW,-12.9274,34.2961,75.79,50,34,2.59,scattered clouds
310,Nenjiang,CN,49.1833,125.2167,33.93,56,8,5.19,clear sky
311,Jalu,LY,29.0331,21.5482,67.19,54,0,8.63,clear sky
312,Angoram,PG,-4.0625,144.0661,75.9,97,100,2.35,overcast clouds
313,Saint-Paul,RE,-21.0096,55.2707,71.69,71,12,1.68,few clouds
314,Wasilla,US,61.5814,-149.4394,43.02,94,100,4.61,overcast clouds
315,Kununurra,AU,-15.7667,128.7333,96.37,31,14,4.07,few clouds
316,Winnemucca,US,40.973,-117.7357,71.82,13,62,20.13,broken clouds
317,Saint-Pierre,RE,-21.3393,55.4781,69.91,73,0,5.75,clear sky
318,Salinopolis,BR,-0.6136,-47.3561,81.19,79,65,11.7,broken clouds
319,Dikson,RU,73.5069,80.5464,32.16,93,100,13.62,overcast clouds
320,Dromolaxia,CY,34.8761,33.586,67.71,72,0,9.22,clear sky
321,Lazaro Cardenas,MX,17.9583,-102.2,73.85,93,100,6.49,moderate rain
322,Gusau,NG,12.1628,6.6614,76.19,31,94,5.1,overcast clouds
323,Miri,MY,4.4148,114.0089,78.04,89,83,3.91,broken clouds
324,Saint-Georges,GD,12.0564,-61.7485,80.51,82,13,9.73,few clouds
325,Pinega,RU,64.7001,43.3936,29.86,86,35,7.11,scattered clouds
326,Khatanga,RU,71.9667,102.5,3.07,97,87,3.44,overcast clouds
327,Kaiyuan,CN,23.6977,103.3037,62.8,89,67,1.54,broken clouds
328,Lesnoy,RU,57.6198,63.0784,27.27,71,35,8.03,scattered clouds
329,Masvingo,ZW,-20.0637,30.8277,66.94,52,1,5.68,clear sky
330,Acapulco,MX,16.8634,-99.8901,78.08,85,99,3.2,overcast clouds
331,Faanui,PF,-16.4833,-151.75,79.74,75,9,14.29,clear sky
332,Peniche,PT,39.3558,-9.3811,65.28,93,40,14.05,scattered clouds
333,Port Blair,IN,11.6667,92.75,79.68,85,99,10.89,moderate rain
334,Montmagny,FR,48.9734,2.3469,60.84,82,0,11.5,clear sky
335,Vestmannaeyjar,IS,63.4427,-20.2734,40.41,66,73,5.39,broken clouds
336,Pinhao,BR,-25.6956,-51.6597,54.36,97,3,1.59,clear sky
337,Zabid,YE,14.1951,43.3152,82.98,65,0,3.15,clear sky
338,Luderitz,NA,-26.6481,15.1594,59.61,79,1,18.86,clear sky
339,Cidreira,BR,-30.1811,-50.2056,64.42,96,97,10.58,overcast clouds
340,Barmer,IN,25.75,71.3833,75.56,24,0,4.63,clear sky
341,San Quintin,MX,30.4833,-115.95,70.75,72,13,5.88,few clouds
