City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,San Quintin,MX,70.75,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
342,Harindanga,IN,71.96,clear sky,22.0383,88.3214,Hasanur Builders
354,Xai-Xai,MZ,69.69,clear sky,-25.0519,33.6442,Complexo da Familia
355,Kudahuvadhoo,MV,81.57,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
356,Luganville,VU,78.71,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
357,Boa Vista,BR,82.96,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
358,Nizwa,OM,72.01,clear sky,22.9333,57.5333,Orient Apartments
360,Malpe,IN,76.3,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
362,Alice Springs,AU,88.21,clear sky,-23.7,133.8833,Desert Palms Alice Springs
363,Naze,JP,75.36,overcast clouds,28.3667,129.4833,Shishime Hotel
364,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
365,Sabang,ID,81.03,overcast clouds,5.8933,95.3214,Hotel Citra
377,Dwarka,IN,81.28,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
378,Tabou,CI,76.32,broken clouds,4.423,-7.3528,hotêl doufoulougou
379,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
380,Berbera,SO,81.81,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
381,Bull Savanna,JM,77.36,broken clouds,17.8868,-77.5902,Big Red's
382,Makakilo City,US,85.75,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
383,Menongue,AO,70.63,overcast clouds,-14.6585,17.691,Ritz Lauca
387,Chalus,IR,67.03,light rain,36.655,51.4204,Rama Spa
388,Cockburn Town,TC,83.08,few clouds,21.4612,-71.1419,Osprey Beach Hotel
391,Pundaguitan,PH,83.23,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
393,Shingu,JP,70.34,overcast clouds,33.7333,135.9833,Shingu UI Hotel
395,Maryborough,AU,69.12,moderate rain,-25.5333,152.7,Blue Shades Motel
397,Boyuibe,BO,69.21,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
399,Pretoria,ZA,67.68,overcast clouds,-25.7449,28.1878,Hotel 224
